month,city_id,g,cohort,city_fe,tau_mult,month_fe,eps,event_time,D,tau_true,lgmv
1,1,13,g13,0.293139114095471,0.915098713206768,0.035,0.0788638239667543,-12,0,0,8.40700293806223
2,1,13,g13,0.293139114095471,0.915098713206768,0.0633012701892219,0.00840267394819113,-11,0,0,8.36484305823288
3,1,13,g13,0.293139114095471,0.915098713206768,0.08,0.0392826116303487,-10,0,0,8.41242172572582
4,1,13,g13,0.293139114095471,0.915098713206768,0.083301270189222,0.0350838118772287,-9,0,0,8.41152419616192
5,1,13,g13,0.293139114095471,0.915098713206768,0.075,0.00620079956508722,-8,0,0,8.37433991366056
6,1,13,g13,0.293139114095471,0.915098713206768,0.06,0.0445074848435588,-7,0,0,8.39764659893903
7,1,13,g13,0.293139114095471,0.915098713206768,0.045,0.0542418398273323,-6,0,0,8.3923809539228
8,1,13,g13,0.293139114095471,0.915098713206768,0.0366987298107781,0.0365488277023372,-5,0,0,8.36638667160859
9,1,13,g13,0.293139114095471,0.915098713206768,0.04,0.0511615124534778,-4,0,0,8.38430062654895
10,1,13,g13,0.293139114095471,0.915098713206768,0.0566987298107781,-0.00831035322507915,-3,0,0,8.34152749068117
11,1,13,g13,0.293139114095471,0.915098713206768,0.085,-0.00706670576331433,-2,0,0,8.37107240833216
12,1,13,g13,0.293139114095471,0.915098713206768,0.12,-0.0383293270311518,-1,0,0,8.37480978706432
13,1,13,g13,0.293139114095471,0.915098713206768,0.155,-0.0035329622709139,0,1,0.0137264806981015,8.45833263252266
14,1,13,g13,0.293139114095471,0.915098713206768,0.183301270189222,-0.0337095458385611,1,1,0.0146415794113083,8.45737241785744
15,1,13,g13,0.293139114095471,0.915098713206768,0.2,-0.0273179508887537,2,1,0.0155566781245151,8.48137784133123
16,1,13,g13,0.293139114095471,0.915098713206768,0.203301270189222,-0.0119058628699576,3,1,0.0164717768377218,8.50100629825246
17,1,13,g13,0.293139114095471,0.915098713206768,0.195,-0.0146449361122195,4,1,0.0173868755509286,8.49088105353418
18,1,13,g13,0.293139114095471,0.915098713206768,0.18,-0.0728748517663956,5,1,0.0183019742641354,8.41856623659321
19,1,13,g13,0.293139114095471,0.915098713206768,0.165,-0.0341021818059951,6,1,0.0339893807762514,8.45802631306573
20,1,13,g13,0.293139114095471,0.915098713206768,0.156698729810778,-0.00351773627729981,7,1,0.0496767872883674,8.49599689491732
21,1,13,g13,0.293139114095471,0.915098713206768,0.16,-0.0479150812590307,8,1,0.0653641938004835,8.47058822663692
22,1,13,g13,0.293139114095471,0.915098713206768,0.176698729810778,-0.000444886461092871,9,1,0.0810516003125995,8.55044455775776
23,1,13,g13,0.293139114095471,0.915098713206768,0.205,-0.0463109443371694,10,1,0.0967390068247155,8.54856717658302
24,1,13,g13,0.293139114095471,0.915098713206768,0.24,-0.0249826283964136,11,1,0.112426413336832,8.62058289903589
25,1,13,g13,0.293139114095471,0.915098713206768,0.275,-0.0120797985644425,12,1,0.128113819848948,8.68417313537998
26,1,13,g13,0.293139114095471,0.915098713206768,0.303301270189222,0.00352887543050103,13,1,0.131774214701775,8.73174347441697
27,1,13,g13,0.293139114095471,0.915098713206768,0.32,0.0129059785392389,14,1,0.135434609554602,8.76147970218931
28,1,13,g13,0.293139114095471,0.915098713206768,0.323301270189222,0.0649833427689945,15,1,0.139095004407429,8.82051873146112
29,1,13,g13,0.293139114095471,0.915098713206768,0.315,0.0130341006437879,16,1,0.142755399260256,8.76392861399951
30,1,13,g13,0.293139114095471,0.915098713206768,0.3,0.0159217971780714,17,1,0.146415794113083,8.75547670538663
31,1,13,g13,0.293139114095471,0.915098713206768,0.285,-0.0423048323389744,18,1,0.15007618896591,8.68591047072241
32,1,13,g13,0.293139114095471,0.915098713206768,0.276698729810778,0.00532552040442077,19,1,0.153736583818737,8.72889994812941
33,1,13,g13,0.293139114095471,0.915098713206768,0.28,0.0146356361896897,20,1,0.157396978671564,8.74517172895672
34,1,13,g13,0.293139114095471,0.915098713206768,0.296698729810778,0.0258103700537109,21,1,0.161057373524391,8.77670558748435
35,1,13,g13,0.293139114095471,0.915098713206768,0.325,-0.0206879448342521,22,1,0.164717768377218,8.76216893763844
36,1,13,g13,0.293139114095471,0.915098713206768,0.36,0.0180112796444774,23,1,0.168378163230045,8.83952855696999
1,2,13,g13,0.509308029155658,1.23396930572073,0.035,0.0543678018457069,-12,0,0,8.59867583100137
2,2,13,g13,0.509308029155658,1.23396930572073,0.0633012701892219,0.0666207363366359,-11,0,0,8.63923003568152
3,2,13,g13,0.509308029155658,1.23396930572073,0.08,0.000325438317216095,-10,0,0,8.58963346747287
4,2,13,g13,0.509308029155658,1.23396930572073,0.083301270189222,-0.00834384003755269,-9,0,0,8.58426545930733
5,2,13,g13,0.509308029155658,1.23396930572073,0.075,-0.00274002163346508,-8,0,0,8.58156800752219
6,2,13,g13,0.509308029155658,1.23396930572073,0.06,-0.0179380622777409,-7,0,0,8.55136996687792
7,2,13,g13,0.509308029155658,1.23396930572073,0.045,0.0112810179399881,-6,0,0,8.56558904709565
8,2,13,g13,0.509308029155658,1.23396930572073,0.0366987298107781,0.00714508904135846,-5,0,0,8.5531518480078
9,2,13,g13,0.509308029155658,1.23396930572073,0.04,-0.0367496884008698,-4,0,0,8.51255834075479
10,2,13,g13,0.509308029155658,1.23396930572073,0.0566987298107781,-0.0157922490170895,-3,0,0,8.55021450994935
11,2,13,g13,0.509308029155658,1.23396930572073,0.085,-0.0480878898401122,-2,0,0,8.54622013931555
12,2,13,g13,0.509308029155658,1.23396930572073,0.12,-0.0244181431177351,-1,0,0,8.60488988603792
13,2,13,g13,0.509308029155658,1.23396930572073,0.155,-0.00761195372418921,0,1,0.018509539585811,8.67520561501728
14,2,13,g13,0.509308029155658,1.23396930572073,0.183301270189222,-0.00371502153619094,1,1,0.0197435088915317,8.70863778670022
15,2,13,g13,0.509308029155658,1.23396930572073,0.2,0.0141742119119597,2,1,0.0209774781972524,8.74445971926487
16,2,13,g13,0.509308029155658,1.23396930572073,0.203301270189222,0.0149325064456487,3,1,0.0222114475029731,8.7497532532935
17,2,13,g13,0.509308029155658,1.23396930572073,0.195,0.0335199025546766,4,1,0.0234454168086939,8.76127334851903
18,2,13,g13,0.509308029155658,1.23396930572073,0.18,0.0210813898832027,5,1,0.0246793861144146,8.73506880515327
19,2,13,g13,0.509308029155658,1.23396930572073,0.165,-0.0253036671404584,6,1,0.0458331456410557,8.69483750765626
20,2,13,g13,0.509308029155658,1.23396930572073,0.156698729810778,0.0230192982556531,7,1,0.0669869051676968,8.75601296238979
21,2,13,g13,0.509308029155658,1.23396930572073,0.16,-0.0216631740792738,8,1,0.0881406646943379,8.73578551977072
22,2,13,g13,0.509308029155658,1.23396930572073,0.176698729810778,0.0269047150709041,9,1,0.109294424220979,8.82220589825832
23,2,13,g13,0.509308029155658,1.23396930572073,0.205,0.0358742143147828,10,1,0.13044818374762,8.88063042721806
24,2,13,g13,0.509308029155658,1.23396930572073,0.24,0.0474159605298673,11,1,0.151601943274261,8.94832593295979
25,2,13,g13,0.509308029155658,1.23396930572073,0.275,0.0136700588987443,12,1,0.172755702800902,8.97073379085531
26,2,13,g13,0.509308029155658,1.23396930572073,0.303301270189222,0.00198755986953966,13,1,0.177691580023785,8.9922884392382
27,2,13,g13,0.509308029155658,1.23396930572073,0.32,0.0207837262780377,14,1,0.182627457246668,9.03271921268036
28,2,13,g13,0.509308029155658,1.23396930572073,0.323301270189222,-0.014468029972604,15,1,0.187563334469551,9.00570460384183
29,2,13,g13,0.509308029155658,1.23396930572073,0.315,0.0632198064990732,16,1,0.192499211692434,9.08002704734717
30,2,13,g13,0.509308029155658,1.23396930572073,0.3,0.014152236718717,17,1,0.197435088915317,9.02089535478969
31,2,13,g13,0.509308029155658,1.23396930572073,0.285,-0.00663570008421755,18,1,0.2023709661382,8.99004329520964
32,2,13,g13,0.509308029155658,1.23396930572073,0.276698729810778,-0.0068463781975682,19,1,0.207306843361083,8.98646722412995
33,2,13,g13,0.509308029155658,1.23396930572073,0.28,-0.0178235527727343,20,1,0.212242720583966,8.98372719696689
34,2,13,g13,0.509308029155658,1.23396930572073,0.296698729810778,0.00405917451614617,21,1,0.217178597806849,9.02724453128943
35,2,13,g13,0.509308029155658,1.23396930572073,0.325,0.000513864432904878,22,1,0.222114475029731,9.05693636861829
36,2,13,g13,0.509308029155658,1.23396930572073,0.36,-0.0147548718977791,23,1,0.227050352252614,9.08160350951049
1,3,13,g13,-0.0307935839786527,0.987879704779261,0.035,0.027909916579832,-12,0,0,8.03211633260118
2,3,13,g13,-0.0307935839786527,0.987879704779261,0.0633012701892219,0.0119966549683345,-11,0,0,8.0445043411789
3,3,13,g13,-0.0307935839786527,0.987879704779261,0.08,0.0166518923533356,-10,0,0,8.06585830837468
4,3,13,g13,-0.0307935839786527,0.987879704779261,0.083301270189222,0.0889696249089505,-9,0,0,8.14147731111952
5,3,13,g13,-0.0307935839786527,0.987879704779261,0.075,0.0825663686260752,-8,0,0,8.12677278464742
6,3,13,g13,-0.0307935839786527,0.987879704779261,0.06,-0.00812675248303764,-7,0,0,8.02107966353831
7,3,13,g13,-0.0307935839786527,0.987879704779261,0.045,0.0023842800544068,-6,0,0,8.01659069607575
8,3,13,g13,-0.0307935839786527,0.987879704779261,0.0366987298107781,0.0303308236655465,-5,0,0,8.03623596949767
9,3,13,g13,-0.0307935839786527,0.987879704779261,0.04,0.0303642172008904,-4,0,0,8.03957063322224
10,3,13,g13,-0.0307935839786527,0.987879704779261,0.0566987298107781,0.0601874303920967,-3,0,0,8.08609257622422
11,3,13,g13,-0.0307935839786527,0.987879704779261,0.085,-0.0166104243047773,-2,0,0,8.03759599171657
12,3,13,g13,-0.0307935839786527,0.987879704779261,0.12,0.0206175601388216,-1,0,0,8.10982397616017
13,3,13,g13,-0.0307935839786527,0.987879704779261,0.155,0.029492661883898,0,1,0.0148181955716889,8.16851727347693
14,3,13,g13,-0.0307935839786527,0.987879704779261,0.183301270189222,0.0105846784942973,1,1,0.0158060752764682,8.17889843998134
15,3,13,g13,-0.0307935839786527,0.987879704779261,0.2,-0.00713941006269453,2,1,0.0167939549812474,8.1788609609399
16,3,13,g13,-0.0307935839786527,0.987879704779261,0.203301270189222,-0.0183867998529028,3,1,0.0177818346860267,8.17190272104369
17,3,13,g13,-0.0307935839786527,0.987879704779261,0.195,-0.0377211089619129,4,1,0.018769714390806,8.14525502145024
18,3,13,g13,-0.0307935839786527,0.987879704779261,0.18,-0.0514072783548785,5,1,0.0197575940955852,8.11755673176205
19,3,13,g13,-0.0307935839786527,0.987879704779261,0.165,0.00396857249759107,6,1,0.036692674748944,8.17486766326788
20,3,13,g13,-0.0307935839786527,0.987879704779261,0.156698729810778,0.0217068745144931,7,1,0.0536277554023027,8.20123977574892
21,3,13,g13,-0.0307935839786527,0.987879704779261,0.16,-0.017753058549407,8,1,0.0705628360556615,8.1820161935276
22,3,13,g13,-0.0307935839786527,0.987879704779261,0.176698729810778,-0.0211618129956578,9,1,0.0874979167090203,8.21224124954549
23,3,13,g13,-0.0307935839786527,0.987879704779261,0.205,0.0352842267642933,10,1,0.104432997362379,8.31392364014802
24,3,13,g13,-0.0307935839786527,0.987879704779261,0.24,-0.00206572925286553,11,1,0.121368078015738,8.32850876478422
25,3,13,g13,-0.0307935839786527,0.987879704779261,0.275,-0.0238610648109137,12,1,0.138303158669097,8.35864850987953
26,3,13,g13,-0.0307935839786527,0.987879704779261,0.303301270189222,0.0198162891828374,13,1,0.142254677488214,8.43457865288162
27,3,13,g13,-0.0307935839786527,0.987879704779261,0.32,-0.0235056924483985,14,1,0.146206196307331,8.41190691988028
28,3,13,g13,-0.0307935839786527,0.987879704779261,0.323301270189222,-0.0129404134695731,15,1,0.150157715126448,8.42972498786744
29,3,13,g13,-0.0307935839786527,0.987879704779261,0.315,-0.00043568610860152,16,1,0.154109233945565,8.43787996385831
30,3,13,g13,-0.0307935839786527,0.987879704779261,0.3,0.0108266293855994,17,1,0.158060752764682,8.43809379817163
31,3,13,g13,-0.0307935839786527,0.987879704779261,0.285,0.0147807445974758,18,1,0.162012271583799,8.43099943220262
32,3,13,g13,-0.0307935839786527,0.987879704779261,0.276698729810778,-0.0074503450459145,19,1,0.165963790402916,8.40441859118913
33,3,13,g13,-0.0307935839786527,0.987879704779261,0.28,-0.0295947924845009,20,1,0.169915309222033,8.38952693275888
34,3,13,g13,-0.0307935839786527,0.987879704779261,0.296698729810778,-0.0111177802250309,21,1,0.17386682804115,8.42865419364824
